Index,Reward
0,1.6024774020100816
1,4.315108169817631
2,4.294655543492164
3,4.693253495295842
4,4.622280315999632
5,4.633858162164689
6,4.643217690564969
7,4.631132900273358
8,4.686324971472775
9,4.66409419465948
10,4.630317934795661
11,4.631626450353199
12,4.630571906434165
13,4.657088885925433
14,4.629988484029416
15,4.641037529706955
16,4.608642864668811
17,4.631266415781445
18,4.617138215126815
19,4.613866445311794
20,4.644607502222061
21,4.642312885655297
22,4.666430266477444
23,4.703455524091368
24,4.611522965298758
25,4.593620174681699
26,4.659875732881051
27,4.668155122244801
28,4.6602471437719135
29,4.6489302361453015
30,4.610117031247528
31,4.584072800698103
32,4.628436309099197
33,4.6677457487141645
34,4.619174198971854
35,4.646963391259864
36,4.655882666729114
37,4.5967116062287925
38,4.621504373241354
39,4.605856182840136
40,4.614883005619048
41,4.643776155401159
42,4.637625265342218
43,4.675664832636162
44,4.637007882197698
45,4.640080704512419
46,4.671033630989216
47,4.612505198187298
48,4.681756011865757
49,4.64169930462484
50,4.613683613141378
51,4.650428109698826
52,4.659198363842787
53,4.6369731697771295
54,4.669327998161316
55,4.629506782911442
56,4.619917341294112
57,4.659865046209759
58,4.605411036588527
59,4.655970477395588
60,4.646203215475436
61,4.646059997214212
62,4.634236207714787
63,4.634236207714787
64,4.621749244575146
65,4.657039520917115
66,4.656233873411461
67,4.647129040735739
68,4.646957358386782
69,4.668496651340414
70,4.646957358386782
71,4.657039520917115
72,4.6205842130714
73,4.657039520917115
74,4.655970477395588
75,4.646059997214212
76,4.630351474991552
77,4.648026401908309
78,4.643249326723593
79,4.637190096466629
80,4.648026401908309
81,4.657039520917115
82,4.648026401908309
83,4.648026401908309
84,4.639126631065651
85,4.648026401908309
86,4.657039520917115
87,4.648026401908309
88,4.648026401908309
89,4.648026401908309
90,4.648026401908309
91,4.640023992238222
92,4.648026401908309
93,4.648026401908309
94,4.6305758264329695
95,4.648026401908309
96,4.648026401908309
97,4.648026401908309
98,4.648026401908309
99,4.648026401908309
100,4.646957358386782
101,4.648026401908309
102,4.648026401908309
103,4.648026401908309
104,4.648026401908309
105,4.648026401908309
106,4.648026401908309
107,4.648026401908309
108,4.648026401908309
109,4.648026401908309
110,4.648026401908309
111,4.657039520917115
112,4.648026401908309
113,4.648026401908309
114,4.648026401908309
115,4.648026401908309
116,4.648026401908309
117,4.648026401908309
118,4.648026401908309
119,4.648026401908309
120,4.648026401908309
121,4.648026401908309
122,4.657039520917115
123,4.646957358386782
124,4.655970477395588
125,4.648026401908309
126,4.648026401908309
127,4.646957358386782
128,4.648026401908309
129,4.648026401908309
130,4.648026401908309
131,4.648026401908309
132,4.648026401908309
133,4.648026401908309
134,4.648026401908309
135,4.648026401908309
136,4.646957358386782
137,4.648026401908309
138,4.648026401908309
139,4.655970477395588
140,4.648026401908309
141,4.648026401908309
142,4.648026401908309
143,4.648026401908309
144,4.648026401908309
145,4.648026401908309
146,4.648026401908309
147,4.648026401908309
148,4.648026401908309
149,4.657039520917115
150,4.646957358386782
151,4.648026401908309
152,4.646957358386782
153,4.646957358386782
154,4.648026401908309
155,4.648026401908309
156,4.648026401908309
157,4.648026401908309
158,4.648026401908309
159,4.648026401908309
160,4.646957358386782
161,4.648026401908309
162,4.648026401908309
163,4.646957358386782
164,4.648026401908309
165,4.646957358386782
166,4.646957358386782
167,4.648026401908309
168,4.646957358386782
169,4.648026401908309
170,4.648026401908309
171,4.646957358386782
172,4.648026401908309
173,4.648026401908309
174,4.646957358386782
175,4.648026401908309
176,4.648026401908309
177,4.648026401908309
178,4.648026401908309
179,4.646957358386782
180,4.646957358386782
181,4.648026401908309
182,4.646957358386782
183,4.648026401908309
184,4.648026401908309
185,4.648026401908309
186,4.646957358386782
187,4.646957358386782
188,4.646957358386782
189,4.648026401908309
190,4.648026401908309
191,4.646957358386782
192,4.646957358386782
193,4.646957358386782
194,4.646957358386782
195,4.646957358386782
196,4.646957358386782
197,4.646957358386782
198,4.646957358386782
199,4.648026401908309
200,4.646957358386782
201,4.646957358386782
202,4.648026401908309
203,4.648026401908309
204,4.648026401908309
205,4.648026401908309
206,4.648026401908309
207,4.648026401908309
208,4.648026401908309
209,4.648026401908309
210,4.648026401908309
211,4.648026401908309
212,4.646957358386782
213,4.648026401908309
214,4.648026401908309
215,4.648026401908309
216,4.648026401908309
217,4.648026401908309
218,4.648026401908309
219,4.648026401908309
220,4.648026401908309
221,4.648026401908309
222,4.648026401908309
223,4.648026401908309
224,4.648026401908309
225,4.646957358386782
226,4.646957358386782
227,4.648026401908309
228,4.648026401908309
229,4.648026401908309
230,4.646957358386782
231,4.648026401908309
232,4.648026401908309
233,4.648026401908309
234,4.648026401908309
235,4.648026401908309
236,4.648026401908309
237,4.648026401908309
238,4.648026401908309
239,4.648026401908309
240,4.648026401908309
241,4.646957358386782
242,4.646957358386782
243,4.648026401908309
244,4.646957358386782
245,4.646957358386782
246,4.646957358386782
247,4.648026401908309
248,4.648026401908309
249,4.648026401908309
250,4.648026401908309
251,4.648026401908309
252,4.648026401908309
253,4.648026401908309
254,4.648026401908309
255,4.648026401908309
256,4.648026401908309
257,4.648026401908309
258,4.648026401908309
259,4.648026401908309
260,4.646957358386782
261,4.646957358386782
262,4.646957358386782
263,4.646957358386782
264,4.648026401908309
265,4.646957358386782
266,4.648026401908309
267,4.646957358386782
268,4.646957358386782
269,4.646957358386782
270,4.648026401908309
271,4.648026401908309
272,4.648026401908309
273,4.648026401908309
274,4.648026401908309
275,4.648026401908309
276,4.648026401908309
277,4.646957358386782
278,4.646957358386782
279,4.648026401908309
280,4.646957358386782
281,4.646957358386782
282,4.646957358386782
283,4.648026401908309
284,4.648026401908309
285,4.648026401908309
286,4.648026401908309
287,4.648026401908309
288,4.648026401908309
289,4.648026401908309
290,4.648026401908309
291,4.648026401908309
292,4.648026401908309
293,4.648026401908309
294,4.648026401908309
295,4.648026401908309
296,4.648026401908309
297,4.648026401908309
298,4.648026401908309
299,4.648026401908309
300,4.648026401908309
301,4.648026401908309
302,4.648026401908309
303,4.648026401908309
304,4.648026401908309
305,4.648026401908309
306,4.648026401908309
307,4.648026401908309
308,4.648026401908309
309,4.648026401908309
310,4.646957358386782
311,4.648026401908309
312,4.648026401908309
313,4.648026401908309
314,4.648026401908309
315,4.648026401908309
316,4.648026401908309
317,4.648026401908309
318,4.648026401908309
319,4.648026401908309
320,4.648026401908309
321,4.648026401908309
322,4.648026401908309
323,4.648026401908309
324,4.648026401908309
325,4.648026401908309
326,4.648026401908309
327,4.648026401908309
328,4.648026401908309
329,4.648026401908309
330,4.648026401908309
331,4.648026401908309
332,4.648026401908309
333,4.648026401908309
334,4.648026401908309
335,4.648026401908309
336,4.648026401908309
337,4.648026401908309
338,4.648026401908309
339,4.648026401908309
340,4.648026401908309
341,4.648026401908309
342,4.648026401908309
343,4.648026401908309
344,4.648026401908309
345,4.648026401908309
346,4.648026401908309
347,4.648026401908309
348,4.648026401908309
349,4.648026401908309
350,4.646957358386782
351,4.646957358386782
352,4.646957358386782
353,4.646957358386782
354,4.646957358386782
355,4.646957358386782
356,4.646957358386782
357,4.646957358386782
358,4.648026401908309
359,4.648026401908309
360,4.648026401908309
361,4.648026401908309
362,4.648026401908309
363,4.648026401908309
364,4.648026401908309
365,4.648026401908309
366,4.648026401908309
367,4.648026401908309
368,4.648026401908309
369,4.648026401908309
370,4.648026401908309
371,4.648026401908309
372,4.648026401908309
373,4.648026401908309
374,4.648026401908309
375,4.648026401908309
376,4.648026401908309
377,4.648026401908309
378,4.648026401908309
379,4.648026401908309
380,4.648026401908309
381,4.648026401908309
382,4.648026401908309
383,4.648026401908309
384,4.648026401908309
385,4.648026401908309
386,4.648026401908309
387,4.648026401908309
388,4.648026401908309
389,4.648026401908309
390,4.648026401908309
