89: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
90: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
91: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
92: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
93: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
94: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
95: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
96: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
97: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
98: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
99: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
100: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
101: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
102: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
103: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
104: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
105: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
106: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
107: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
108: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
109: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
110: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
111: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
112: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
113: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
