0: {(1, 19): [1, 5, 8, 15, 19], (1, 16): [1, 4, 1, 9, 1, 3, 1, 5, 7, 16], (1, 11): [1, 3, 2, 11]}
42: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
43: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 7, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
44: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 7, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
45: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 7, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
46: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 7, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
47: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
48: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
49: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 5, 7, 16]}
50: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
51: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
52: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
53: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 5, 7, 16]}
54: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 5, 7, 16]}
55: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
56: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
57: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
58: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 7, 15, 19], (1, 16): [1, 4, 1, 5, 7, 16]}
59: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 7, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
60: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 7, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
61: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 7, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
62: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 7, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
63: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 7, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
64: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 7, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
65: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 7, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
66: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 7, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
67: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 7, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
68: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 7, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
69: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 1, 5, 7, 15, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
70: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
71: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
72: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
73: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 5, 7, 16]}
74: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 5, 7, 16]}
75: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
76: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
77: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
78: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 5, 7, 16]}
79: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 5, 7, 16]}
80: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
81: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
82: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
83: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 5, 7, 16]}
84: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 5, 7, 16]}
