63: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
64: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
65: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
66: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
67: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
68: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
69: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
70: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
71: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
72: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
73: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
74: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
75: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
76: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
77: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
78: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
79: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
80: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
81: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
82: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
83: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
84: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
85: {(3, 4): [3, 1, 4], (4, 14): [4, 11, 14], (4, 7): [4, 5, 7]}
