(3, 2, {'free_bw': 25.891258785942508, 'delay': 3.4209489822387695, 'loss': 0.014169201737230006, 'used_bw': 2.108741214057492, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 42.43})
(3, 1, {'free_bw': 36.92248881789136, 'delay': 5.745291709899902, 'loss': 0.017062162676451526, 'used_bw': 2.077511182108634, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 30.0})
(2, 6, {'free_bw': 20.999616689958074, 'delay': 3.47745418548584, 'loss': 0.0, 'used_bw': 0.0003833100419245391, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(2, 11, {'free_bw': 34.99980834497904, 'delay': 3.5295486450195312, 'loss': 0.0, 'used_bw': 0.00019165502096226737, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 94.87})
(1, 4, {'free_bw': 37.99980834497904, 'delay': 6.334066390991211, 'loss': 0.0, 'used_bw': 0.00019165502096226737, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(1, 5, {'free_bw': 29.937383110401285, 'delay': 3.9603710174560547, 'loss': 0.017216974936565, 'used_bw': 2.0626168895987163, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 42.43})
(1, 9, {'free_bw': 6.9997125748502995, 'delay': 3.150343894958496, 'loss': 0.0, 'used_bw': 0.0002874251497005993, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(4, 6, {'free_bw': 39.999616689958074, 'delay': 3.6591291427612305, 'loss': 0.0, 'used_bw': 0.00038331004192453474, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 13, {'free_bw': 38.999808383233535, 'delay': 3.780245780944824, 'loss': 0.0, 'used_bw': 0.00019161676646706622, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 90.0})
(5, 7, {'free_bw': 2.936329073482444, 'delay': 3.9130449295043945, 'loss': 0.01721632983667855, 'used_bw': 2.063670926517556, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 40.0})
(5, 8, {'free_bw': 30.999808383233532, 'delay': 3.8968324661254883, 'loss': 0.0, 'used_bw': 0.00019161676646706622, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 72.11})
(7, 8, {'free_bw': 15.999808383233534, 'delay': 3.901839256286621, 'loss': 0.0, 'used_bw': 0.00019161676646706622, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.0})
(7, 16, {'free_bw': 10.999712460063897, 'delay': 3.830075263977051, 'loss': 0.0, 'used_bw': 0.0002875399361022375, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(7, 15, {'free_bw': 30.946823153692613, 'delay': 3.5153627395629883, 'loss': 0.0, 'used_bw': 2.053176846307389, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(8, 14, {'free_bw': 29.999808344979037, 'delay': 3.916025161743164, 'loss': 0.0, 'used_bw': 0.00019165502096226954, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(8, 15, {'free_bw': 7.999808383233533, 'delay': 3.334164619445801, 'loss': 0.0, 'used_bw': 0.00019161676646706622, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(9, 10, {'free_bw': 27.999808344979037, 'delay': 3.335118293762207, 'loss': 0.0, 'used_bw': 0.00019165502096226737, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(10, 16, {'free_bw': 25.999712460063897, 'delay': 2.176642417907715, 'loss': 0.0, 'used_bw': 0.0002875399361022375, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(11, 13, {'free_bw': 33.99980834497904, 'delay': 3.1080245971679688, 'loss': 0.0, 'used_bw': 0.00019165502096226737, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(14, 12, {'free_bw': 33.999808383233535, 'delay': 3.382563591003418, 'loss': 0.0, 'used_bw': 0.00019161676646706622, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(14, 17, {'free_bw': 20.999808344979037, 'delay': 1.9347667694091797, 'loss': 0.0, 'used_bw': 0.00019165502096226737, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(12, 13, {'free_bw': 17.999808383233532, 'delay': 3.4584999084472656, 'loss': 0.0, 'used_bw': 0.00019161676646706406, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(16, 18, {'free_bw': 21.999808344979037, 'delay': 2.7272701263427734, 'loss': 0.0, 'used_bw': 0.00019165502096226737, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(15, 19, {'free_bw': 20.94548372928729, 'delay': 91.25769138336182, 'loss': 0.03477142695884541, 'used_bw': 2.0545162707127114, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 36.06})
(15, 20, {'free_bw': 22.999808383233532, 'delay': 3.449678421020508, 'loss': 0.0, 'used_bw': 0.00019161676646706622, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(18, 20, {'free_bw': 13.999808344979037, 'delay': 3.1789541244506836, 'loss': 0.0, 'used_bw': 0.00019165502096226737, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(17, 19, {'free_bw': 29.999808344979037, 'delay': 3.5060644149780273, 'loss': 0.0, 'used_bw': 0.00019165502096226954, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(20, 21, {'free_bw': 38.999808383233535, 'delay': 3.6193132400512695, 'loss': 0.0, 'used_bw': 0.00019161676646706622, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(21, 19, {'free_bw': 25.94337085828343, 'delay': 3.5262107849121094, 'loss': 0.008690614303017612, 'used_bw': 2.0566291417165705, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 42.43})
