(3, 2, {'free_bw': 27.999712517468556, 'delay': 3.13568115234375, 'loss': 0.0, 'used_bw': 0.00028748253144340186, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(3, 1, {'free_bw': 38.9997125748503, 'delay': 3.2929182052612305, 'loss': 0.0, 'used_bw': 0.00028742514970059855, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(2, 6, {'free_bw': 20.999696727853152, 'delay': 2.178311347961426, 'loss': 0.0, 'used_bw': 0.0003032721468475658, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(2, 11, {'free_bw': 34.99971251746856, 'delay': 3.306746482849121, 'loss': 0.0, 'used_bw': 0.00028748253144340186, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 94.87})
(1, 4, {'free_bw': 37.99971286141575, 'delay': 2.691984176635742, 'loss': 0.0, 'used_bw': 0.00028713858424725815, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(1, 5, {'free_bw': 31.99980842147276, 'delay': 3.678560256958008, 'loss': 0.0, 'used_bw': 0.00019157852724007173, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(1, 9, {'free_bw': 6.999808459696728, 'delay': 2.2525787353515625, 'loss': 0.0, 'used_bw': 0.00019154030327214684, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(4, 6, {'free_bw': 39.99969690927218, 'delay': 2.9979944229125977, 'loss': 0.0, 'used_bw': 0.0003030907278165503, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 13, {'free_bw': 38.99980857427717, 'delay': 2.140641212463379, 'loss': 0.0, 'used_bw': 0.00019142572283150546, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 90.0})
(5, 7, {'free_bw': 4.99971263220914, 'delay': 3.452777862548828, 'loss': 0.0, 'used_bw': 0.0002873677908601076, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(5, 8, {'free_bw': 30.999712689545092, 'delay': 3.323793411254883, 'loss': 0.0, 'used_bw': 0.0002873104549082203, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 72.11})
