Index,Reward
0,-5.7647316785050045
1,-5.0669987832248955
2,-2.480952161332708
3,3.6776315268653406
4,4.804714383769917
5,1.8562147045341533
6,5.138047717103251
7,5.138047717103251
8,3.472594501295207
9,5.138047717103251
10,5.138047717103251
11,5.138047717103251
12,5.138047717103251
13,5.138047717103251
14,5.138047717103251
15,5.138047717103251
16,5.138047717103251
17,5.099448493395322
18,5.087848339566478
19,5.138047717103251
20,5.138047717103251
21,5.138047717103251
22,5.138047717103251
23,5.138047717103251
24,5.138047717103251
25,5.0962017297891915
26,5.04681952898885
27,4.513358616670708
28,5.138047717103251
29,5.138047717103251
30,5.138047717103251
31,5.138047717103251
32,5.087493138121969
33,5.138047717103251
34,5.138047717103251
35,5.138047717103251
36,5.138047717103251
37,5.061471018393835
38,5.09449714747476
39,5.138047717103251
40,5.138047717103251
41,5.138047717103251
42,5.138047717103251
43,5.138047717103251
44,5.138047717103251
45,5.138047717103251
46,5.100070242101763
47,5.084797003990337
48,5.138047717103251
49,5.138047717103251
50,5.138047717103251
51,5.071157674303761
52,5.138047717103251
53,5.138047717103251
54,5.138047717103251
55,5.04681952898885
56,5.0886655163029095
57,5.090370098617341
58,5.138047717103251
59,5.138047717103251
60,5.138047717103251
61,5.138047717103251
62,5.138047717103251
63,5.061471018393835
64,5.0886655163029095
65,5.138047717103251
66,5.138047717103251
67,5.138047717103251
68,5.138047717103251
69,5.138047717103251
70,5.121712253285042
71,5.063154992807059
72,5.138047717103251
73,5.138047717103251
74,5.138047717103251
75,5.138047717103251
76,5.138047717103251
77,5.138047717103251
78,5.138047717103251
79,5.138047717103251
80,5.099448493395322
81,5.138047717103251
82,5.090370098617341
83,5.084797003990337
84,5.138047717103251
85,5.138047717103251
86,5.138047717103251
87,5.138047717103251
88,5.061471018393835
89,5.0886655163029095
90,5.138047717103251
91,5.138047717103251
92,5.138047717103251
93,5.138047717103251
94,5.0962017297891915
95,5.04681952898885
96,5.04681952898885
97,5.113709571788339
98,5.138047717103251
99,5.138047717103251
100,5.138047717103251
101,5.138047717103251
102,5.061471018393835
103,5.074919185093891
104,5.138047717103251
105,5.138047717103251
106,5.138047717103251
107,5.138047717103251
108,5.071157674303761
109,5.04681952898885
110,5.0886655163029095
111,5.138047717103251
112,5.138047717103251
113,5.138047717103251
114,5.138047717103251
115,5.061471018393835
116,5.04681952898885
117,5.084797003990337
118,5.138047717103251
119,5.138047717103251
120,5.138047717103251
121,5.138047717103251
122,5.04681952898885
123,5.04681952898885
124,5.138047717103251
125,5.138047717103251
126,5.138047717103251
127,5.118835292789671
128,5.061471018393835
129,5.04681952898885
130,5.09449714747476
131,5.138047717103251
132,5.138047717103251
133,5.138047717103251
134,5.090370098617341
135,5.04681952898885
136,5.063154992807059
137,5.138047717103251
138,5.138047717103251
139,5.138047717103251
140,5.071157674303761
141,5.04681952898885
142,5.09449714747476
143,5.138047717103251
144,5.138047717103251
145,5.138047717103251
146,5.0962017297891915
147,5.04681952898885
148,5.04681952898885
149,5.074919185093891
150,5.138047717103251
151,5.138047717103251
152,5.138047717103251
153,5.0962017297891915
154,5.04681952898885
155,5.04681952898885
156,5.066003154104139
157,5.0886655163029095
158,5.138047717103251
159,5.108986273091516
160,5.071157674303761
161,5.04681952898885
162,5.0886655163029095
163,5.138047717103251
164,5.138047717103251
165,5.04681952898885
166,5.04681952898885
167,5.04681952898885
168,5.113709571788339
169,5.0962017297891915
170,5.04681952898885
171,5.04681952898885
172,5.074919185093891
173,5.138047717103251
174,5.138047717103251
175,5.090370098617341
176,5.04681952898885
177,5.04681952898885
178,5.04681952898885
179,5.138047717103251
180,5.138047717103251
181,5.0962017297891915
182,5.04681952898885
183,5.04681952898885
184,5.113709571788339
185,5.138047717103251
186,5.121712253285042
187,5.04681952898885
188,5.04681952898885
189,5.04681952898885
190,5.138047717103251
191,5.138047717103251
192,5.100070242101763
193,5.04681952898885
194,5.04681952898885
195,5.04681952898885
196,5.113709571788339
197,5.138047717103251
198,5.138047717103251
199,5.121712253285042
200,5.04681952898885
201,5.04681952898885
202,5.04681952898885
203,5.09449714747476
204,5.138047717103251
205,5.0962017297891915
206,5.04681952898885
207,5.04681952898885
208,5.123396227698266
209,5.138047717103251
210,5.104020777013567
211,5.04681952898885
212,5.04681952898885
213,5.084797003990337
214,5.138047717103251
215,5.138047717103251
216,5.100070242101763
217,5.04681952898885
218,5.04681952898885
219,5.063154992807059
220,5.138047717103251
221,5.138047717103251
222,5.138047717103251
223,5.04681952898885
224,5.04681952898885
225,5.04681952898885
226,5.099448493395322
227,5.138047717103251
228,5.138047717103251
229,5.121712253285042
230,5.04681952898885
231,5.04681952898885
232,5.084797003990337
233,5.138047717103251
234,5.138047717103251
235,5.0962017297891915
236,5.04681952898885
237,5.04681952898885
238,5.103980629105626
239,5.138047717103251
240,5.138047717103251
241,5.138047717103251
242,5.080886616986475
243,5.04681952898885
244,5.04681952898885
245,5.113709571788339
246,5.138047717103251
247,5.138047717103251
248,5.0962017297891915
249,5.04681952898885
250,5.04681952898885
251,5.084797003990337
252,5.138047717103251
253,5.138047717103251
254,5.061471018393835
255,5.04681952898885
256,5.04681952898885
257,5.084797003990337
258,5.138047717103251
259,5.138047717103251
260,5.10994806099821
261,5.04681952898885
262,5.138047717103251
263,5.138047717103251
264,5.138047717103251
265,5.071157674303761
266,5.04681952898885
267,5.04681952898885
268,5.123396227698266
269,5.138047717103251
270,5.138047717103251
271,5.138047717103251
272,5.071157674303761
273,5.04681952898885
274,5.074919185093891
275,5.138047717103251
276,5.138047717103251
277,5.138047717103251
278,5.090370098617341
279,5.04681952898885
280,5.04681952898885
281,5.103980629105626
282,5.138047717103251
283,5.138047717103251
