Index,Average_Reward
0,-0.6405257420561116
1,-0.5629998648027663
2,-0.2756613512591898
3,0.4086257252072601
4,0.533857153752213
5,0.2062460782815726
6,0.5708941907892501
7,0.5708941907892501
8,0.3858438334772452
9,0.5708941907892501
10,0.5708941907892501
11,0.5708941907892501
12,0.5708941907892501
13,0.5708941907892501
14,0.5708941907892501
15,0.5708941907892501
16,0.5708941907892501
17,0.5666053881550357
18,0.5653164821740532
19,0.5708941907892501
20,0.5708941907892501
21,0.5708941907892501
22,0.5708941907892501
23,0.5708941907892501
24,0.5708941907892501
25,0.5662446366432436
26,0.5607577254432056
27,0.5014842907411897
28,0.5708941907892501
29,0.5708941907892501
30,0.5708941907892501
31,0.5708941907892501
32,0.5652770153468855
33,0.5708941907892501
34,0.5708941907892501
35,0.5708941907892501
36,0.5708941907892501
37,0.5623856687104261
38,0.5660552386083066
39,0.5708941907892501
40,0.5708941907892501
41,0.5708941907892501
42,0.5708941907892501
43,0.5708941907892501
44,0.5708941907892501
45,0.5708941907892501
46,0.5666744713446403
47,0.5649774448878152
48,0.5708941907892501
49,0.5708941907892501
50,0.5708941907892501
51,0.563461963811529
52,0.5708941907892501
53,0.5708941907892501
54,0.5708941907892501
55,0.5607577254432056
56,0.5654072795892122
57,0.565596677624149
58,0.5708941907892501
59,0.5708941907892501
60,0.5708941907892501
61,0.5708941907892501
62,0.5708941907892501
63,0.5623856687104261
64,0.5654072795892122
65,0.5708941907892501
66,0.5708941907892501
67,0.5708941907892501
68,0.5708941907892501
69,0.5708941907892501
70,0.5690791392538936
71,0.5625727769785621
72,0.5708941907892501
73,0.5708941907892501
74,0.5708941907892501
75,0.5708941907892501
76,0.5708941907892501
77,0.5708941907892501
78,0.5708941907892501
79,0.5708941907892501
80,0.5666053881550357
81,0.5708941907892501
82,0.565596677624149
83,0.5649774448878152
84,0.5708941907892501
85,0.5708941907892501
86,0.5708941907892501
87,0.5708941907892501
88,0.5623856687104261
89,0.5654072795892122
90,0.5708941907892501
91,0.5708941907892501
92,0.5708941907892501
93,0.5708941907892501
94,0.5662446366432436
95,0.5607577254432056
96,0.5607577254432056
97,0.5681899524209266
98,0.5708941907892501
99,0.5708941907892501
100,0.5708941907892501
101,0.5708941907892501
102,0.5623856687104261
103,0.5638799094548768
104,0.5708941907892501
105,0.5708941907892501
106,0.5708941907892501
107,0.5708941907892501
108,0.563461963811529
109,0.5607577254432056
110,0.5654072795892122
111,0.5708941907892501
112,0.5708941907892501
113,0.5708941907892501
114,0.5708941907892501
115,0.5623856687104261
116,0.5607577254432056
117,0.5649774448878152
118,0.5708941907892501
119,0.5708941907892501
120,0.5708941907892501
121,0.5708941907892501
122,0.5607577254432056
123,0.5607577254432056
124,0.5708941907892501
125,0.5708941907892501
126,0.5708941907892501
127,0.5687594769766302
128,0.5623856687104261
129,0.5607577254432056
130,0.5660552386083066
131,0.5708941907892501
132,0.5708941907892501
133,0.5708941907892501
134,0.565596677624149
135,0.5607577254432056
136,0.5625727769785621
137,0.5708941907892501
138,0.5708941907892501
139,0.5708941907892501
140,0.563461963811529
141,0.5607577254432056
142,0.5660552386083066
143,0.5708941907892501
144,0.5708941907892501
145,0.5708941907892501
146,0.5662446366432436
147,0.5607577254432056
148,0.5607577254432056
149,0.5638799094548768
150,0.5708941907892501
151,0.5708941907892501
152,0.5708941907892501
153,0.5662446366432436
154,0.5607577254432056
155,0.5607577254432056
156,0.5628892393449043
157,0.5654072795892122
158,0.5708941907892501
159,0.5676651414546129
160,0.563461963811529
161,0.5607577254432056
162,0.5654072795892122
163,0.5708941907892501
164,0.5708941907892501
165,0.5607577254432056
166,0.5607577254432056
167,0.5607577254432056
168,0.5681899524209266
169,0.5662446366432436
170,0.5607577254432056
171,0.5607577254432056
172,0.5638799094548768
173,0.5708941907892501
174,0.5708941907892501
175,0.565596677624149
176,0.5607577254432056
177,0.5607577254432056
178,0.5607577254432056
179,0.5708941907892501
180,0.5708941907892501
181,0.5662446366432436
182,0.5607577254432056
183,0.5607577254432056
184,0.5681899524209266
185,0.5708941907892501
186,0.5690791392538936
187,0.5607577254432056
188,0.5607577254432056
189,0.5607577254432056
190,0.5708941907892501
191,0.5708941907892501
192,0.5666744713446403
193,0.5607577254432056
194,0.5607577254432056
195,0.5607577254432056
196,0.5681899524209266
197,0.5708941907892501
198,0.5708941907892501
199,0.5690791392538936
200,0.5607577254432056
201,0.5607577254432056
202,0.5607577254432056
203,0.5660552386083066
204,0.5708941907892501
205,0.5662446366432436
206,0.5607577254432056
207,0.5607577254432056
208,0.5692662475220296
209,0.5708941907892501
210,0.5671134196681741
211,0.5607577254432056
212,0.5607577254432056
213,0.5649774448878152
214,0.5708941907892501
215,0.5708941907892501
216,0.5666744713446403
217,0.5607577254432056
218,0.5607577254432056
219,0.5625727769785621
220,0.5708941907892501
221,0.5708941907892501
222,0.5708941907892501
223,0.5607577254432056
224,0.5607577254432056
225,0.5607577254432056
226,0.5666053881550357
227,0.5708941907892501
228,0.5708941907892501
229,0.5690791392538936
230,0.5607577254432056
231,0.5607577254432056
232,0.5649774448878152
233,0.5708941907892501
234,0.5708941907892501
235,0.5662446366432436
236,0.5607577254432056
237,0.5607577254432056
238,0.5671089587895141
239,0.5708941907892501
240,0.5708941907892501
241,0.5708941907892501
242,0.5645429574429417
243,0.5607577254432056
244,0.5607577254432056
245,0.5681899524209266
246,0.5708941907892501
247,0.5708941907892501
248,0.5662446366432436
249,0.5607577254432056
250,0.5607577254432056
251,0.5649774448878152
252,0.5708941907892501
253,0.5708941907892501
254,0.5623856687104261
255,0.5607577254432056
256,0.5607577254432056
257,0.5649774448878152
258,0.5708941907892501
259,0.5708941907892501
260,0.5677720067775789
261,0.5607577254432056
262,0.5708941907892501
263,0.5708941907892501
264,0.5708941907892501
265,0.563461963811529
266,0.5607577254432056
267,0.5607577254432056
268,0.5692662475220296
269,0.5708941907892501
270,0.5708941907892501
271,0.5708941907892501
272,0.563461963811529
273,0.5607577254432056
274,0.5638799094548768
275,0.5708941907892501
276,0.5708941907892501
277,0.5708941907892501
278,0.565596677624149
279,0.5607577254432056
280,0.5607577254432056
281,0.5671089587895141
282,0.5708941907892501
283,0.5708941907892501
284,0.5708941907892501
285,0.5645429574429417
286,0.5607577254432056
287,0.5607577254432056
288,0.5649774448878152
289,0.5708941907892501
290,0.5708941907892501
291,0.5708941907892501
292,0.5623856687104261
293,0.5607577254432056
294,0.5649774448878152
295,0.5708941907892501
296,0.5708941907892501
297,0.5708941907892501
298,0.5623856687104261
299,0.5607577254432056
300,0.5607577254432056
301,0.5681899524209266
302,0.5708941907892501
303,0.5708941907892501
304,0.5666744713446403
305,0.5607577254432056
306,0.5654072795892122
307,0.5708941907892501
308,0.5708941907892501
309,0.565596677624149
310,0.5607577254432056
311,0.5607577254432056
312,0.5671089587895141
313,0.5708941907892501
314,0.5708941907892501
315,0.5666744713446403
316,0.5607577254432056
317,0.5607577254432056
318,0.5654072795892122
319,0.5708941907892501
320,0.5708941907892501
321,0.5708941907892501
322,0.5662446366432436
323,0.5607577254432056
324,0.5607577254432056
325,0.5649774448878152
326,0.5708941907892501
327,0.5708941907892501
328,0.565596677624149
329,0.5607577254432056
330,0.5654072795892122
331,0.5708941907892501
332,0.5708941907892501
333,0.5708941907892501
334,0.5645429574429417
335,0.5607577254432056
336,0.5607577254432056
337,0.5692662475220296
338,0.5708941907892501
339,0.5708941907892501
340,0.565596677624149
341,0.5607577254432056
342,0.5607577254432056
343,0.5660552386083066
344,0.5708941907892501
345,0.5708941907892501
346,0.5623856687104261
347,0.5607577254432056
348,0.5607577254432056
349,0.5692662475220296
350,0.5708941907892501
351,0.5708941907892501
352,0.5638917985129258
353,0.5607577254432056
354,0.5625727769785621
355,0.5708941907892501
356,0.5708941907892501
357,0.5708941907892501
358,0.5690791392538936
359,0.5607577254432056
360,0.5607577254432056
361,0.5649774448878152
362,0.5708941907892501
363,0.5708941907892501
364,0.5708941907892501
365,0.5607577254432056
366,0.5607577254432056
367,0.5638799094548768
368,0.5660552386083066
369,0.5708941907892501
370,0.5708941907892501
371,0.5645429574429417
372,0.5607577254432056
373,0.5607577254432056
374,0.5671089587895141
375,0.5708941907892501
376,0.5708941907892501
377,0.5662446366432436
378,0.5607577254432056
379,0.5607577254432056
380,0.5660552386083066
381,0.5708941907892501
382,0.5708941907892501
383,0.5645429574429417
384,0.5607577254432056
385,0.5607577254432056
386,0.5692662475220296
387,0.5708941907892501
388,0.5708941907892501
389,0.565596677624149
390,0.5607577254432056
391,0.5607577254432056
392,0.5681899524209266
393,0.5708941907892501
394,0.5708941907892501
395,0.565596677624149
396,0.5607577254432056
397,0.5607577254432056
398,0.5625727769785621
399,0.5708941907892501
400,0.5708941907892501
401,0.5708941907892501
402,0.5607577254432056
403,0.5607577254432056
404,0.5607577254432056
405,0.5692662475220296
406,0.5708941907892501
407,0.5708941907892501
408,0.5662446366432436
409,0.5607577254432056
410,0.5607577254432056
411,0.5649774448878152
412,0.5708941907892501
413,0.5708941907892501
414,0.5677720067775789
415,0.5607577254432056
416,0.5607577254432056
417,0.5625727769785621
418,0.5708941907892501
419,0.5708941907892501
420,0.5690791392538936
421,0.5607577254432056
422,0.5607577254432056
423,0.5607577254432056
424,0.5681899524209266
425,0.5708941907892501
426,0.5708941907892501
427,0.5666744713446403
428,0.5607577254432056
429,0.5607577254432056
430,0.5681899524209266
431,0.5708941907892501
432,0.5708941907892501
433,0.5677720067775789
434,0.5607577254432056
435,0.5607577254432056
436,0.5625727769785621
437,0.5708941907892501
438,0.5708941907892501
439,0.5708941907892501
440,0.5607577254432056
441,0.5607577254432056
442,0.5607577254432056
443,0.5681899524209266
444,0.5708941907892501
445,0.5708941907892501
446,0.5708941907892501
447,0.5623856687104261
448,0.5607577254432056
449,0.5607577254432056
450,0.5692662475220296
451,0.5708941907892501
452,0.5677720067775789
453,0.5607577254432056
454,0.5607577254432056
455,0.5671089587895141
456,0.5708941907892501
457,0.5708941907892501
458,0.5645429574429417
459,0.5607577254432056
460,0.5607577254432056
461,0.5681899524209266
462,0.5708941907892501
463,0.5708941907892501
464,0.5666744713446403
465,0.5607577254432056
466,0.5607577254432056
467,0.5638799094548768
468,0.5708941907892501
469,0.5708941907892501
470,0.5708941907892501
471,0.5623856687104261
