(3, 2, {'free_bw': 26.494121030557203, 'delay': 1.3850927352905273, 'loss': 0.003332034998780088, 'used_bw': 1.5058789694427956, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 42.43})
(3, 1, {'free_bw': 35.637322670931596, 'delay': 3.138422966003418, 'loss': 0.0027282997855804397, 'used_bw': 3.3626773290684047, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 30.0})
(2, 6, {'free_bw': 20.999808268424207, 'delay': 0.6066560745239258, 'loss': 0.0, 'used_bw': 0.00019173157579388617, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(2, 11, {'free_bw': 34.999808536098925, 'delay': 2.8171539306640625, 'loss': 0.0, 'used_bw': 0.00019146390107698406, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 94.87})
(1, 4, {'free_bw': 36.21031907237108, 'delay': 1.1370182037353516, 'loss': 0.0, 'used_bw': 1.7896809276289245, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(1, 5, {'free_bw': 26.88162462522491, 'delay': 70.32513618469238, 'loss': 0.001346597005501796, 'used_bw': 5.118375374775091, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 42.43})
(1, 9, {'free_bw': 6.9998081151309215, 'delay': 3.3854246139526367, 'loss': 0.0, 'used_bw': 0.00019188486907855122, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(4, 6, {'free_bw': 38.19198081151307, 'delay': 0.8044242858886719, 'loss': 0.0, 'used_bw': 1.8080191884869334, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 13, {'free_bw': 38.999712172696384, 'delay': 1.7167329788208008, 'loss': 0.0, 'used_bw': 0.00028782730361783334, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 90.0})
(5, 7, {'free_bw': 0, 'delay': 9.632706642150879, 'loss': 0.0020199842530175174, 'used_bw': 5.1142050769539, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 40.0})
(5, 8, {'free_bw': 30.99980811513092, 'delay': 1.0634660720825195, 'loss': 0.0, 'used_bw': 0.00019188486907855122, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 72.11})
(7, 8, {'free_bw': 11.866776489404293, 'delay': 1.9942522048950195, 'loss': 0.007594239419951258, 'used_bw': 4.133223510595707, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 60.0})
(7, 16, {'free_bw': 6.803988831272446, 'delay': 4.408478736877441, 'loss': 0.0025041886442024957, 'used_bw': 4.196011168727554, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 30.0})
(7, 15, {'free_bw': 27.92463561862875, 'delay': 4.235029220581055, 'loss': 0.0032872454875084675, 'used_bw': 5.07536438137125, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 42.43})
(8, 14, {'free_bw': 25.86419028582854, 'delay': 0.6059408187866211, 'loss': 0.00506290195875952, 'used_bw': 4.135809714171462, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 30.0})
(8, 15, {'free_bw': 7.999712172696382, 'delay': 1.3984441757202148, 'loss': 0.0, 'used_bw': 0.00028782730361782684, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(9, 10, {'free_bw': 27.999808574277168, 'delay': 1.984715461730957, 'loss': 0.0, 'used_bw': 0.000191425722831506, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(10, 16, {'free_bw': 21.8009810568295, 'delay': 2.186417579650879, 'loss': 0.0, 'used_bw': 4.1990189431705, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(11, 13, {'free_bw': 31.27420183486239, 'delay': 3.1585693359375, 'loss': 0.007909735718490477, 'used_bw': 2.7257981651376095, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 30.0})
(14, 12, {'free_bw': 31.315850489706136, 'delay': 2.3865699768066406, 'loss': 0.0, 'used_bw': 2.684149510293862, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(14, 17, {'free_bw': 18.345333599202384, 'delay': 3.820180892944336, 'loss': 0.0076694317590185876, 'used_bw': 2.6546664007976144, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 30.0})
(12, 13, {'free_bw': 15.28460843493906, 'delay': 3.8138628005981445, 'loss': 0.007815490301778125, 'used_bw': 2.71539156506094, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 20.0})
(16, 18, {'free_bw': 21.99971286141575, 'delay': 3.3169984817504883, 'loss': 0.0, 'used_bw': 0.000287138584247259, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(15, 19, {'free_bw': 21.53744713172098, 'delay': 3.702521324157715, 'loss': 0.003434102387785374, 'used_bw': 1.46255286827902, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 36.06})
(15, 20, {'free_bw': 21.16269325887515, 'delay': 2.3081302642822266, 'loss': 0.0015956743691927175, 'used_bw': 1.8373067411248467, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 36.06})
(18, 20, {'free_bw': 13.999808536098923, 'delay': 4.7713518142700195, 'loss': 0.0, 'used_bw': 0.00019146390107698406, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(17, 19, {'free_bw': 27.348055166899883, 'delay': 4.50289249420166, 'loss': 0.007602524427983138, 'used_bw': 2.651944833100117, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 36.06})
(20, 21, {'free_bw': 38.999808536098925, 'delay': 2.3772716522216797, 'loss': 0.0, 'used_bw': 0.00019146390107698406, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(21, 19, {'free_bw': 26.539858484909033, 'delay': 1.8388032913208008, 'loss': 0.0, 'used_bw': 1.4601415150909662, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
