(3, 2, {'free_bw': 26.1760704, 'delay': 3.015756607055664, 'loss': 0.0056369221228678495, 'used_bw': 1.8239296, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 42.43})
(3, 1, {'free_bw': 34.5138624, 'delay': 3.5233497619628906, 'loss': 0.008825403241213864, 'used_bw': 4.486137599999999, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 30.0})
(2, 6, {'free_bw': 20.999808306709266, 'delay': 84.94758605957031, 'loss': 0.0, 'used_bw': 0.000191693290734825, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(2, 11, {'free_bw': 34.99971251746856, 'delay': 2.132534980773926, 'loss': 0.0, 'used_bw': 0.0002874825314434043, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 94.87})
(1, 4, {'free_bw': 37.99980834497904, 'delay': 4.209637641906738, 'loss': 0.0, 'used_bw': 0.00019165502096226954, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(1, 5, {'free_bw': 27.544682244857203, 'delay': 4.1915178298950195, 'loss': 0.0, 'used_bw': 4.455317755142796, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(1, 9, {'free_bw': 6.999712517468557, 'delay': 2.6499032974243164, 'loss': 0.0, 'used_bw': 0.0002874825314434043, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(4, 6, {'free_bw': 39.999808, 'delay': 2.0236968994140625, 'loss': 0.0, 'used_bw': 0.000192, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 13, {'free_bw': 38.9997124600639, 'delay': 3.6379098892211914, 'loss': 0.0, 'used_bw': 0.0002875399361022375, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 90.0})
(5, 7, {'free_bw': 0.5503198243161931, 'delay': 2.9571056365966797, 'loss': 0.004454952587563873, 'used_bw': 4.449680175683807, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 40.0})
(5, 8, {'free_bw': 30.99971240263631, 'delay': 3.2688379287719727, 'loss': 0.0, 'used_bw': 0.00028759736369083255, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 72.11})
(7, 8, {'free_bw': 15.999712517468556, 'delay': 3.575444221496582, 'loss': 0.0, 'used_bw': 0.0002874825314434043, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.0})
(7, 16, {'free_bw': 10.999808344979037, 'delay': 3.906130790710449, 'loss': 0.0, 'used_bw': 0.00019165502096226737, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(7, 15, {'free_bw': 28.58187901776803, 'delay': 3.6019086837768555, 'loss': 0.0044992323221997145, 'used_bw': 4.41812098223197, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 42.43})
(8, 14, {'free_bw': 29.999712, 'delay': 3.14939022064209, 'loss': 0.0, 'used_bw': 0.000288, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(8, 15, {'free_bw': 7.999808306709265, 'delay': 3.1511783599853516, 'loss': 0.0, 'used_bw': 0.000191693290734825, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(9, 10, {'free_bw': 27.999808, 'delay': 2.3723840713500977, 'loss': 0.0, 'used_bw': 0.000192, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(10, 16, {'free_bw': 25.999808, 'delay': 2.3636817932128906, 'loss': 0.0, 'used_bw': 0.000192, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(11, 13, {'free_bw': 33.99971251746856, 'delay': 3.661036491394043, 'loss': 0.0, 'used_bw': 0.00028748253144340104, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
