(3, 2, {'free_bw': 27.99969654621681, 'delay': 2.7163028717041016, 'loss': 0.0, 'used_bw': 0.00030345378319025665, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(3, 1, {'free_bw': 38.99980834497904, 'delay': 3.26383113861084, 'loss': 0.0, 'used_bw': 0.00019165502096226737, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(2, 6, {'free_bw': 20.999616689958074, 'delay': 2.8946399688720703, 'loss': 0.0, 'used_bw': 0.00038331004192453474, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(2, 11, {'free_bw': 34.99980834497904, 'delay': 3.0410289764404297, 'loss': 0.0, 'used_bw': 0.00019165502096226954, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 94.87})
(1, 4, {'free_bw': 37.99969654621681, 'delay': 3.4068822860717773, 'loss': 0.0, 'used_bw': 0.00030345378319025665, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(1, 5, {'free_bw': 31.999808344979037, 'delay': 8.831143379211426, 'loss': 0.0, 'used_bw': 0.00019165502096226737, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(1, 9, {'free_bw': 6.999600718706328, 'delay': 3.1183958053588867, 'loss': 0.0, 'used_bw': 0.00039928129367139485, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(4, 6, {'free_bw': 39.999616689958074, 'delay': 3.313302993774414, 'loss': 0.0, 'used_bw': 0.00038331004192453474, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 13, {'free_bw': 38.99980834497904, 'delay': 2.7791261672973633, 'loss': 0.0, 'used_bw': 0.00019165502096226737, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 90.0})
(5, 7, {'free_bw': 4.99969654621681, 'delay': 2.676248550415039, 'loss': 0.0, 'used_bw': 0.00030345378319025665, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(5, 8, {'free_bw': 30.99958474745458, 'delay': 3.9212703704833984, 'loss': 0.0, 'used_bw': 0.0004152525454182506, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 72.11})
(7, 8, {'free_bw': 15.99969654621681, 'delay': 2.11334228515625, 'loss': 0.0, 'used_bw': 0.00030345378319026006, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.0})
(7, 16, {'free_bw': 10.999808344979037, 'delay': 2.172708511352539, 'loss': 0.0, 'used_bw': 0.00019165502096226737, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(7, 15, {'free_bw': 32.99969654621681, 'delay': 3.328680992126465, 'loss': 0.0, 'used_bw': 0.00030345378319025665, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(8, 14, {'free_bw': 29.999808344979037, 'delay': 2.750992774963379, 'loss': 0.0, 'used_bw': 0.00019165502096226737, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(8, 15, {'free_bw': 7.999808306709265, 'delay': 3.3489465713500977, 'loss': 0.0, 'used_bw': 0.000191693290734825, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(9, 10, {'free_bw': 27.999712517468556, 'delay': 2.528667449951172, 'loss': 0.0, 'used_bw': 0.0002874825314434043, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(10, 16, {'free_bw': 25.999712460063897, 'delay': 3.25620174407959, 'loss': 0.0, 'used_bw': 0.0002875399361022342, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(11, 13, {'free_bw': 33.99980834497904, 'delay': 2.3990869522094727, 'loss': 0.0, 'used_bw': 0.00019165502096226737, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(14, 12, {'free_bw': 33.99969654621681, 'delay': 3.0438899993896484, 'loss': 0.0, 'used_bw': 0.00030345378319025665, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(14, 17, {'free_bw': 20.99969654621681, 'delay': 3.2196044921875, 'loss': 0.0, 'used_bw': 0.00030345378319025665, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(12, 13, {'free_bw': 17.999808344979037, 'delay': 3.255605697631836, 'loss': 0.0, 'used_bw': 0.00019165502096226954, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(16, 18, {'free_bw': 21.999712517468556, 'delay': 63.69650363922119, 'loss': 0.0, 'used_bw': 0.00028748253144340104, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(15, 19, {'free_bw': 22.999600638977636, 'delay': 1.598358154296875, 'loss': 0.0, 'used_bw': 0.0003993610223642142, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(15, 20, {'free_bw': 22.999712517468556, 'delay': 2.378225326538086, 'loss': 0.0, 'used_bw': 0.00028748253144340104, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(18, 20, {'free_bw': 13.999712517468556, 'delay': 2.974390983581543, 'loss': 0.0, 'used_bw': 0.00028748253144340104, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(17, 19, {'free_bw': 29.999712460063897, 'delay': 2.2568702697753906, 'loss': 0.0, 'used_bw': 0.0002875399361022375, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(20, 21, {'free_bw': 38.99969654621681, 'delay': 2.803206443786621, 'loss': 0.0, 'used_bw': 0.00030345378319026006, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(21, 19, {'free_bw': 27.99980815347722, 'delay': 3.227114677429199, 'loss': 0.0, 'used_bw': 0.00019184652278177384, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
