(3, 2, {'free_bw': 27.999808268424207, 'delay': 3.1818151473999023, 'loss': 0.0, 'used_bw': 0.00019173157579388729, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(3, 1, {'free_bw': 38.99971263220914, 'delay': 3.3223628997802734, 'loss': 0.0, 'used_bw': 0.00028736779086010637, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(2, 6, {'free_bw': 20.99980842147276, 'delay': 2.3179054260253906, 'loss': 0.0, 'used_bw': 0.0001915785272400709, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(2, 11, {'free_bw': 34.99971263220914, 'delay': 3.28218936920166, 'loss': 0.0, 'used_bw': 0.000287367790860108, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 94.87})
(1, 4, {'free_bw': 37.99961684294552, 'delay': 3.2377243041992188, 'loss': 0.0, 'used_bw': 0.0003831570544801418, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(1, 5, {'free_bw': 31.99980842147276, 'delay': 3.3696889877319336, 'loss': 0.0, 'used_bw': 0.00019157852724007202, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(1, 9, {'free_bw': 6.99980842147276, 'delay': 2.3610591888427734, 'loss': 0.0, 'used_bw': 0.0001915785272400709, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(4, 6, {'free_bw': 39.99980842147276, 'delay': 3.985881805419922, 'loss': 0.0, 'used_bw': 0.0001915785272400709, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 13, {'free_bw': 38.99990421073638, 'delay': 2.3435354232788086, 'loss': 0.0, 'used_bw': 9.578926362003601e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 90.0})
(5, 7, {'free_bw': 4.99971263220914, 'delay': 2.653837203979492, 'loss': 0.0, 'used_bw': 0.00028736779086010637, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(5, 8, {'free_bw': 30.99971263220914, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00028736779086010637, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 72.11})
(7, 8, {'free_bw': 15.99971263220914, 'delay': 0, 'loss': 0.0, 'used_bw': 0.000287367790860108, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.0})
(7, 16, {'free_bw': 10.999808268424205, 'delay': 3.1713247299194336, 'loss': 0.0, 'used_bw': 0.00019173157579388837, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(7, 15, {'free_bw': 32.99980842147276, 'delay': 2.2449493408203125, 'loss': 0.0, 'used_bw': 0.00019157852724007202, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(8, 14, {'free_bw': 29.99980842147276, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0001915785272400709, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(8, 15, {'free_bw': 7.99971263220914, 'delay': 0, 'loss': 0.0, 'used_bw': 0.000287367790860108, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(9, 10, {'free_bw': 27.99971263220914, 'delay': 3.264904022216797, 'loss': 0.0, 'used_bw': 0.000287367790860108, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(10, 16, {'free_bw': 25.999808268424207, 'delay': 3.231048583984375, 'loss': 0.0, 'used_bw': 0.00019173157579388837, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(11, 13, {'free_bw': 33.99980842147276, 'delay': 3.665924072265625, 'loss': 0.0, 'used_bw': 0.0001915785272400709, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(14, 12, {'free_bw': 33.99980842147276, 'delay': 3.192424774169922, 'loss': 0.0, 'used_bw': 0.00019157852724007202, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(14, 17, {'free_bw': 20.99980842147276, 'delay': 3.2895803451538086, 'loss': 0.0, 'used_bw': 0.00019157852724007202, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(12, 13, {'free_bw': 17.99980842147276, 'delay': 2.1543502807617188, 'loss': 0.0, 'used_bw': 0.0001915785272400731, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
