(3, 1, {'free_bw': 38.999520383693046, 'delay': 3.1533241271972656, 'loss': 0.0, 'used_bw': 0.000479616306954436, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(3, 9, {'free_bw': 34.999520383693046, 'delay': 2.909421920776367, 'loss': 0.0, 'used_bw': 0.000479616306954436, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(1, 4, {'free_bw': 37.99961630695444, 'delay': 3.063797950744629, 'loss': 0.0, 'used_bw': 0.00038369304556354876, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(1, 5, {'free_bw': 31.999520383693046, 'delay': 1.9325017929077148, 'loss': 0.0, 'used_bw': 0.00047961630695443733, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 67.08})
(1, 6, {'free_bw': 6.999424460431655, 'delay': 2.4840831756591797, 'loss': 0.0, 'used_bw': 0.0005755395683453232, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 10, {'free_bw': 39.999424460431655, 'delay': 2.610445022583008, 'loss': 0.0, 'used_bw': 0.0005755395683453232, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 67.08})
(5, 7, {'free_bw': 38.999520383693046, 'delay': 3.461003303527832, 'loss': 0.0, 'used_bw': 0.00047961630695443733, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 67.08})
(5, 8, {'free_bw': 4.999616306954437, 'delay': 2.698540687561035, 'loss': 0.0, 'used_bw': 0.00038369304556354876, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(5, 9, {'free_bw': 30.999520383693046, 'delay': 2.7959346771240234, 'loss': 0.0, 'used_bw': 0.000479616306954436, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 94.87})
(6, 9, {'free_bw': 15.999424460431655, 'delay': 3.229379653930664, 'loss': 0.0, 'used_bw': 0.0005755395683453232, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(7, 2, {'free_bw': 27.999520383693046, 'delay': 3.496408462524414, 'loss': 0.0, 'used_bw': 0.00047961630695443733, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(7, 10, {'free_bw': 32.999424460431655, 'delay': 3.219127655029297, 'loss': 0.0, 'used_bw': 0.0005755395683453248, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(2, 8, {'free_bw': 20.999616306954437, 'delay': 2.960205078125, 'loss': 0.0, 'used_bw': 0.00038369304556354876, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(8, 10, {'free_bw': 10.999424345392764, 'delay': 2.0831823348999023, 'loss': 0.0, 'used_bw': 0.0005756546072356586, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
